well_file_number,date_stimulated,stimulated_formation,top_ft,bottom_ft,stimulation_stages,volume,volume_units,type_treatment,acid_pct,lbs_proppant,max_pressure_psi,max_rate_bbls_min,details
22099,08/31/2013,Bakken,11126,21220,36,100130,Barrels,Sand Frac,,3649776,9294,39.0,"100 Mesh: 124,804; 40/70 White: 1,416,922; 20/40 Ceramic: 2, 108,050"
22221,09/07/2013,Bakken,11117,21122,36,90354,Barrels,Sand Frac,,3765029,8782,37.7,"100 mesh: 128,174; 40170 White: 1,458,059; 20/40 Ceramic: 2, 178, 796"
23230,10/26/2012,Three Forks,11101,20482,36,92216,Barrels,Sand Frac,,3700348,9214,42.2,"100 mesh-144,777; 40170 sand-1,426,577; 20/40 ceramic-2, 128,994; I l I II"
23359,1/20/2014,3 Forks,10924,19085,27,51087,Barrels,Sa11d Frac,,3009408,8352,28.0,"Pu nped 124649# 40/70 mesh, 2065196# 20/40 sand and 819563# 20/40 creamic."
23365,12/14/2014,3 Forks,10865,22585,38,72511,Barrels,Sand Frac,,3764730,8557,23.0,"Pumped 96760# 40/70 mesh, 2681100# 20/40 sand and 986870# 20/40 ceramic."
23366,12/13/2013,Middle Bakken,10821,23100,40,62806,Barrels,Sand Frac,,4810703,8461,28.0,Pumped 3459050# 20/40 sand and 1351653# 20/40 ceramic.
23367,11/21/2013,3 Forks,10858,22005,37,64611,Barrels,Sanil Frac,,3841831,8539,24.0,"Pumped 39730# 40/70 mesh, 2734057# 20/40 sand and 1068044# 20/40 ceramic."
23368,11/19/2013,MB,10858,21165,31,71324,Barrels,Sand Frac,,3651745,7993,31.0,Pumped 2523043# 20/40 sand and 1128702# 20/40 ceramic.
23370,3/20/2013,MB,11156,20225,27,44335,Barrels,Sand Frac,,3227114,8059,31.0,Pumped 2251322# 20/40 sand and 975822# 20/40 ceramic.
23372,3/25/2013,Middle Bakken,10888,19936,27,44056,Barrels,Sand Frac,,3134553,8147,31.0,Pumped 2138057# 20/40 sand and 996496# 20/40 ceramic
25156,7/7/2013,Bakken,11386,21276,30,48693,Barrels,Sand Frac,,2686987,7682,30.0,"Pumped 156552# 40/70 mesh, 1742173# 20/40 sand and 788262# 20/40 Resin."
25157,3/14/2014,Three Forks,10830,18434,24,64952,Barrels,Sand Frac,,2829582,8491,31.0,"Pumped 89291# 40/70 mesh, 1970321# 20/40 sand and 769970# 20/40 ceramic."
25158,3/14/2014,Bakken,11080,18127,24,56607,Barrels,Sand Frac,,3013084,7518,30.0,Pumped 2150603# 20/40 sand and 862481# 20/40 ceramic.
25159,2/27/2014,Three Forks,10850,23475,43,85599,Barrels,Sand Frac,,3937842,8493,31.0,"Pumped 305478# 40/70 mesh, 2539056# 20/40 sand and 1093308# 20/40 ceramic."
25160,3/2/2014,Bakken,10968,23122,41,74589,Barrels,Sand Frac,,3788746,7979,31.0,"Pumped 285982# 40/70 mesh, 2418523# 20/40 sand and 1084241# 20/40 ceramic."
25571,09/11/2013,Bakken,,21090,36,95801,Barrels,Sand Frac,,3826701,9406,36.0,"100 mesh: 127,379; 40/70 White: 1,462,926; 20/40 Ceramic: 2,236,396"
28303,03/29/2015,Three Forks,11080,20453,36,123705,Barrels,Sand Frac,,3976880,8968,39.0,100 Mesh White: 139800; 40/70 White: 1396480; 20/40 Ceramic: 1845780; 20/40 Resin Coated: 594820
28342,10/31/2014,Three Forks,11043,20883,36,207943,Barrels,Sand Frac,,3775876,9936,73.0,40/70 Ceramic: 1461677; 30/50 Ceramic: 2271618; 40/70 White: 42581
28394,04/08/2015,Three Forks,11079,20187,50,238848,Barrels,Sand Frac,,9362098,8608,35.0,40/70 White: 1364550; 20/40 White: 6379708; 20/40 Ceramic Resin Coated: 1426830; 100 Mesh White: 191010
28425,04/24/2015,Bakken,10032,20425,50,188339,Barrels,Sand Frac,,9170249,9033,38.0,40170 White: 1209680; 20/40 White: 6519540; 20/40 Resin Coated: 1299520; 100 Mesh White: 208460
28554,04/08/2015,Bakken,11034,20595,50,215747,Barrels,Sand Frac,,9121901,8832,37.0,40170 White: 1424311; 20/40 White: 6280250; 20/40 CRC: 1417340
28557,04/24/2015,Three Forks,11167,20517,36,134353,Barrels,Sand Frac,,3973130,9218,39.0,40/70 White: 1437920; 20/40 Ceramic: 1859940; 20/40 Resin Coated: 605340; 100 Mesh White: 159020
28599,10/30/2014,Bakken,10910,20833,36,206015,Barrels,Sand Frac,,4076819,9177,75.0,40170 Ceramic: 1513408; 30/50 Ceramic: 2259661; 100 mesh: 303750
28600,11/25/2014,Three Forks,11074,20938,36,98038,Barrels,,,6229694,8877,38.0,Sand Frac; 40/70 Ceramic: 25340; 30/50 Ceramic: O; 40/70 White: 863519; 20/40 White: 5340835
28601,11/25/2014,Three Forks,11418,21025,36,95600,Barrels,Sand Frac,,9370930,9044,37.2,"40/70 ceramic -935,244; 30/50 ceramic -208641; 40/70 white -844, 164; 20/40 white -4,382,881"
28633,04/25/2015,Three Forks,11140,20904,36,206323,Barrels,Sand Frac,,4332421,9320,72.0,100 Mesh White: 276871; 40/70 Ceramic: 1760490; 30/50 Ceramic: 2295360
28634,04/25/2015,Bakken,11080,20580,36,223578,Barrels,Sand Frac,,3879492,9244,75.0,100 Mesh White: 277452; 40170 Ceramic: 1460460; 30/50 Ceramic: 2141580
28636,04/25/2015,Three Forks,11165,20511,36,96178,Barrels,Sand Frac,,4011690,9390,40.0,100 Mesh White: 144690; 40170 White: 1554590; 20140 Ceramic: 2282410
28637,04/08/2015,Three Forks,11118,20558,36,214367,Barrels,Sand Frac,,3828642,9063,75.0,100 Mesh White: 265265; 40/70 Ceramic: 1428560; 30/50 Ceramic: 2134817
28648,04/27/2015,Bakken,11080,20435,36,215116,Barrels,Sand Frac,,3817790,9426,75.0,100 Mesh White: 286610; 40/70 Ceramic: 1441370; 30/50 Ceramic: 2089810
28649,04/07/2015,Bakken,11065,20675,36,209363,Barrels,Sand Frac,,3768710,9499,75.0,100 Mesh White: 270990; 40/70 Ceramic: 1404730; 30/50 Ceramic: 2092990
28651,06/26/2015,Three Forks,11150,20737,50,170347,Barrels,Sand Frac,,9426950,8928,37.0,100 Mesh White: 220000; 40170 White: 1224040; 20/40 White: 6593310; 20/40 Resin Coated: 1389600
28652,06/26/2015,Bakken,11125,20460,50,192526,Barrels,Sand Frac,,9254340,8844,39.0,100 Mesh: 229320; 40/70 White: 1221920; 20/40 White: 6435200; 20/40 Resin Coated: 1367900
28654,06/09/2015,Three Forks Second Bench,11185,20754,50,126978,Barrels,Sand Frac,,4230380,9122,39.0,100 Mesh White: 219480; 20/40 White: 1882960; 40/70 White: 1515060; 20/40 Resin Coated: 612880
28655,06/09/2015,Bakken,11113,20645,50,214895,Barrels,Sand Frac,,9543260,9411,41.0,100 Mesh White: 235860; 40170 White: 1249960; 20/40 White: 6292960; 20/40 Resin Coated: 1364480
28755,07/12/2015,Three Forks,19681,20551,3,10330,Barrels,Sand Frac,,295940,8729,35.9,"100 Mesh White: 21060; 40/70 White: 107840; 30/50 White: 167040"
28755,07/30/2015,Three Forks,11068,19681,33,200534,Barrels,Sand Frac,,3873780,9488,71.0,100 Mesh White: 282880; 40/70 White: 1436860; 30/50 Ceramic: 2154040
28756,07/13/2015,Bakken,11108,20592,36,220489,Barrels,Sand Frac,,4243874,9096,71.0,100 Mesh White: 314040; 40/70 White: 1556974; 30/50 White: 2372860
28976,03/16/2015,Three Forks,11078,20374,50,190732,Barrels,Sand Frac,,9170590,9035,43.0,40/70 White: 1314300; 20/40 White: 6500390; 20/40 Resin Coated: 1355900
29242,07/16/2015,Bakken,11013,20891,36,209044,Barrels,Sand Frac,,4192230,9205,73.0,"100 Mesh White: 296000; 40/70 White: 1554520; 30/50 White: 1755330; 30/50 Resin Coated: 497700; 20/40 Resin Coated: 88680"
29244,07/17/2015,Three Forks,11101,20835,36,208220,Barrels,Sand Frac,,4183070,9386,76.0,100 Mesh White: 301340; 40170 White: 1556480; 30/50 White: 1742280; 30/50 Resin Coated: 511100; 20/40 Resin Coated: 71870 I II
29316,05/26/2015,Bakken,11132,20435,50,168692,Barrels,Sand Frac,,9139069,9676,37.6,40/70 White: 1199320; 20/40 White: 6572629; 20/40 Resin Coated: 1367480; 100M: 236200
29317,06/26/2015,Three Forks,11228,20545,50,170334,Barrels,Sand Frac,,9246908,8985,10.4,40/70 White: 1185500; 20/40 White: 6423398; 20/40 Resin Coated: 1396960; 100 Mesh White: 241050
29334,07/16/2015,Bakken,11024,20445,36,209640,Barrels,Sand Frac,,4168220,9141,73.0,100 Mesh White: 295320; 40170 white: 1555360; 30/50 White: 1740010; 30/50 Resin Coated: 504920; 20/40 Resin Coated: 69610 I I I I a
90258,3/1/2013,Dakota,5590,5606,1,2500,Gallons,Acid,15,0,2980,6.4,Interval isolated with a packer and bridge plug
90258,3/2/2013,Dakota,5414,5438,1,4000,Gallons,Acid,15,0,3000,7.0,Interval isolated with a packer and bridge plug
90258,3/11/2013,Dakota,5720,5760,1,6000,Gallons,Acid,15,0,2610,6.0,Interval treated under a packer
